gauge_id,cwc_lat,cwc_lon,ghi_lat,ghi_lon,elev_mean,elev_median,elev_min,elev_max,slope_mean,slope_median,slope_min,slope_max,cwc_area,ghi_area,gauge_elevation,dpsbar
4022,16.7156,80.3164,16.71458,80.31875,186.1817385,178.0,26,791,2.878655918,1.52037394,0.0,92.43457794,9854.0,10544.6,30,2.625899806
4023,13.7542,76.3197,13.75209,76.31876,829.8044213,798.0,655,1903,4.966648605,2.530055046,0.0,123.7350998,4320.0,4297.0,658,5.684309184
4024,17.2864,75.6372,17.28541,75.63541,580.7369655,572.0,458,757,2.218017641,1.968824387,0.0,27.55579948,1640.0,1482.6,460,4.344190986
4025,14.5,75.6339,14.50209,75.63542,648.1100753,641.0,537,1025,4.962048301,2.878536224,0.0,66.0883255,1850.0,2061.5,541,4.980481586
4026,16.6836,74.6031,16.68544,74.60208,703.1136136,671.0,521,1440,8.767957947,3.415314198,0.0,132.2944336,15190.0,15264.6,535,12.12886241
4028,16.9181,80.3558,16.91875,80.35625,127.9996944,111.0,44,791,3.753917936,1.52037394,0.0,85.01596069,1850.0,1684.8,48,2.549640311
4030,17.2031,77.1572,17.20208,77.15625,537.2437648,541.0,395,726,3.018218662,2.03105998,0.0,43.6404953,7650.0,8380.0,397,4.376959902
4031,15.9483,77.4264,15.94791,77.42699,608.8300192,601.0,303,1903,4.166249637,2.004624128,0.0,136.8544464,60630.0,64701.4,311,5.061633956
4032,14.9389,75.6181,14.93957,75.61875,590.452224,587.0,512,833,3.066468631,2.278610945,0.0,57.69413376,4901.0,5183.1,512,3.89311664
4038,17.9722,75.1392,17.97291,75.13955,639.8949039,609.0,445,1472,6.620416335,2.480371714,0.0,200.589035,22856.0,22326.1,453,7.428622546
4039,15.55,75.3667,15.56878,75.36461,638.647105,634.0,567,843,1.583817293,1.320054173,0.0,54.04199982,2952.0,3079.1,584,2.717788965
4040,15.4917,76.7169,15.48958,76.71869,629.0072584,607.0,367,1867,5.155014213,2.38535881,0.0,136.8544464,33018.0,32960.8,376,6.282677441
4041,16.9489,80.0478,16.94791,80.04792,194.9196513,189.0,73,481,1.556267918,1.333456159,0.0,79.42295837,2928.0,2489.0,76,2.358957549
4044,18.6669,74.0022,18.66876,74.00206,690.6062547,659.0,542,1260,9.854872713,5.147209644,0.0,123.0189743,2205.0,2141.9,551,8.869423215
4047,16.5639,74.5275,16.56458,74.52709,639.2657409,605.0,530,1035,6.979096288,3.661545277,0.0,64.43670654,2322.0,2285.3,534,10.38215559
4048,16.855,74.4967,16.85628,74.49793,667.2037619,618.0,536,1108,9.167398158,5.229460716,0.0,84.7627182,1948.0,2010.2,540,16.12607204
4049,17.9114,75.0075,17.91041,75.01042,649.3388734,615.0,470,1410,6.341406928,2.301902294,0.0,111.1158676,7200.0,6807.1,473,7.783270743
4050,13.9269,75.585,13.92704,75.58537,705.5394251,673.0,561,1639,10.92748726,8.097932816,0.0,106.3568192,2831.0,2761.3,565,9.088944163
4051,17.3686,75.5942,17.36875,75.59377,542.8522793,533.0,442,706,2.212750725,1.923137784,0.0,18.7908535,630.0,611.4,446,4.088875204
4054,17.4131,75.8478,17.41459,75.8479,613.4573344,588.0,410,1472,5.280769212,2.207262754,0.0,200.589035,33916.0,33531.6,417,6.373734381
4055,16.4728,76.2842,16.47296,76.27706,599.3861534,599.0,500,750,1.544459194,1.436176181,0.0,18.7254467,2486.0,2434.4,507,2.564768733
4056,16.6753,74.5736,16.67708,74.57292,636.1580063,598.0,529,1026,9.233949423,5.62585783,0.0,68.50513458,2425.0,2444.2,531,11.82896392
4057,15.6611,76.9628,15.66043,76.96458,645.800752,646.0,352,1903,3.554655349,1.923137784,0.0,123.7350998,23500.0,23527.1,352,3.910926718
4060,16.5011,80.625,16.49796,80.61874,526.9343043,551.0,-3,1903,3.936147204,1.885791779,0.0,200.589035,251360.0,257260.0,23,5.335764229
4061,17.5342,75.885,17.53541,75.88541,576.2026526,557.0,423,964,2.831619868,1.885791779,0.0,51.12687302,12092.0,12094.5,427,3.404205079
4062,16.7942,80.0692,16.79375,80.06876,553.4198879,561.0,24,1903,4.016923911,1.923137784,0.0,200.589035,235544.0,240055.4,28,5.520081517
4063,17.2722,74.165,17.27292,74.1646,791.1768762,747.0,552,1440,18.10485913,14.1748333,0.0,132.2944336,1890.0,1908.8,560,21.14575805
4064,16.7375,77.1253,16.73957,77.12289,566.3953658,547.0,349,1472,3.86207183,1.968824387,0.0,200.589035,69863.0,69779.3,364,5.043147354
5001,12.6028,76.4008,12.60195,76.40207,943.4407681,939.0,758,1862,5.650184076,4.135864258,0.0,115.2019653,5236.0,5153.5,762,5.10230454
5002,12.1822,77.7239,12.18127,77.72709,820.7478801,819.0,257,2026,6.277455355,3.622487545,0.0,144.8038788,36682.0,37505.0,264,7.231407143
5004,11.0317,77.8875,11.03127,77.88959,371.3507421,351.0,134,1902,3.871374449,1.707657099,0.0,162.5165253,3386.0,3500.6,136,5.964705284
5005,12.1208,77.7856,12.12292,77.78541,737.2729117,786.0,259,1381,11.30062593,5.507674217,0.0,115.2704773,1636.0,1593.4,263,13.79010814
5007,12.3461,76.2878,12.34792,76.28959,866.8723716,856.0,768,1527,6.100496652,4.525900364,0.0,83.82424164,1330.0,1464.5,774,5.684392441
5008,11.0811,77.8903,11.08125,77.88958,767.1966852,795.0,121,2629,8.474204749,3.795082808,0.0,236.2264099,53233.0,52773.6,126,10.76586217
5010,12.5025,75.9619,12.50208,75.96041,979.014593,931.0,816,1706,12.43753668,9.859459877,0.0,89.54830933,1934.0,1742.8,824,12.48807786
5012,10.9433,78.435,10.94375,78.43125,676.948853,732.0,78,2629,8.035515704,3.110127449,0.0,309.4549255,66243.0,69632.0,82,10.81735331
5013,11.8083,76.0839,11.81041,76.08542,826.9458342,775.0,706,2026,13.78650876,10.80181789,0.0,122.1546249,1260.0,1235.1,718,12.57236045
5014,10.8808,77.9847,10.88125,77.98542,485.2628923,314.0,126,2534,8.465341484,1.885791779,0.0,309.4549255,9080.0,8725.0,137,16.89616577
5015,11.2878,76.8911,11.28959,76.89374,1174.650811,918.0,307,2618,26.30313029,23.10922241,0.0,194.9862213,1475.0,1498.9,307,50.32697656
5017,12.9436,75.7936,12.94377,75.79791,974.8107669,959.0,892,1419,10.15666596,8.833077431,0.0,72.15291595,617.0,615.6,897,6.746032428
5018,11.5217,77.51,11.51875,77.5104,905.0060969,752.0,181,2629,18.5293345,11.39305401,0.0,236.2264099,5776.0,5656.3,183,34.0245862
5021,12.5167,77.4333,12.51458,77.43542,830.9392874,858.0,615,1463,5.085305824,3.466985941,0.0,144.8038788,3500.0,3380.8,622,5.347437568
5022,11.5728,76.9192,11.57292,76.91875,1300.757176,1006.0,342,2598,20.15199618,14.31836319,0.0,200.6777496,1370.0,1360.1,346,39.94315926
5023,11.5272,77.7508,11.52708,77.75208,349.8833793,300.0,176,1635,6.451567817,2.294164658,0.0,134.2704926,1248.0,1207.5,175,7.117520878
5024,12.9825,76.0214,12.98127,76.03958,1029.110265,1011.0,912,1862,6.015880953,4.714479446,0.0,115.2019653,1010.0,975.3,932,5.401898868
5025,11.9383,78.0572,11.93959,78.05617,584.328943,491.0,331,1627,16.39734743,9.207609177,0.0,117.4895172,362.0,356.0,332,15.23138203
5027,12.4167,77.1925,12.41874,77.19376,786.1069655,799.0,584,1323,3.260854189,2.414991856,0.0,113.7457657,7890.0,8157.8,586,3.775569787
5028,12.23,76.8942,12.23125,76.89375,798.294974,772.0,622,2026,7.026147657,4.402425289,0.0,122.1546249,7000.0,7095.3,640,7.784281594
5029,11.4778,77.7,11.47708,77.70209,776.3270284,804.0,162,2026,7.458008477,3.776294947,0.0,144.8038788,44100.0,44895.8,162,8.075921966
6001,22.7914,86.1736,22.79374,86.17292,313.1047824,281.0,115,956,7.090540275,3.040747881,0.0,90.76850891,6309.0,6350.2,132,7.351005952
6006,22.5806,86.4683,22.58125,86.46876,341.5416948,286.0,60,1043,6.940591765,3.244438887,0.0,108.0313492,14176.0,14291.2,69,7.682009262
6007,21.5478,86.9181,21.54795,86.91871,229.4041024,100.0,-2,1166,8.644330576,2.878536224,0.0,121.5434875,4495.0,4450.4,12,13.37395053
6008,22.8156,86.2161,22.81459,86.21877,357.9573141,300.0,115,1043,6.807771658,3.211387634,0.0,94.88362885,12649.0,12785.0,120,7.852359511
7001,20.9297,85.5189,20.93127,85.51875,208.2682706,147.0,47,989,10.83188845,4.917543411,0.0,116.6785583,830.0,937.2,52,8.412036144
7002,21.2111,86.1206,21.21038,86.12295,473.9472768,426.0,32,1181,7.20192789,3.661545277,0.0,123.3568726,8570.0,8655.2,32,9.417191881
7005,22.0658,85.6733,22.06882,85.67283,590.9151799,573.0,375,1116,10.35021428,7.101201534,0.0,96.0451355,1710.0,1828.7,380,9.848994858
7007,21.8378,84.9425,21.83544,84.94374,503.3641351,507.0,133,1110,7.659350963,4.237790108,0.0,107.4656448,21950.0,21758.0,147,8.17484939
7008,22.3217,85.1047,22.32291,85.10622,544.541241,566.0,200,1086,7.125890891,3.869321108,0.0,97.11260223,9160.0,10541.1,200,7.422285526
7009,20.8897,86.0142,20.88544,86.01461,384.9126669,360.0,9,1174,7.985951366,3.869321108,0.0,167.9461365,33955.0,36130.8,23,7.863350582
7011,22.2772,84.8519,22.27709,84.85209,515.0150161,540.0,176,1086,7.050900336,3.883082867,0.0,97.11260223,19448.0,12363.2,181,7.401367762
7015,22.6233,84.4175,22.62292,84.41875,732.6605717,746.0,376,1110,9.142374656,5.472046375,0.0,84.95570374,3160.0,3223.2,380,8.557204316
8001,21.8317,81.6058,21.8354,81.60621,430.996363,366.0,251,971,5.904887197,2.074370861,0.0,92.06546783,2210.0,2229.2,259,7.000104175
8003,21.8986,82.7117,21.89788,82.71459,485.2424658,478.0,199,1116,6.57562764,3.818437338,0.0,138.608902,9730.0,9859.5,228,7.014097195
8005,20.9125,81.8861,20.91036,81.8854,470.5572022,440.0,278,929,5.546611703,3.255381346,0.0,103.8763199,3225.0,3238.2,291,6.05922701
8006,21.7267,82.7881,21.72293,82.78959,379.9291056,333.0,199,1139,4.092633213,1.923137784,0.0,138.608902,57780.0,59091.2,210,4.324717682
8009,22.0567,82.2194,22.05624,82.21874,456.0500721,378.0,234,1139,6.543468399,3.138582945,0.0,106.1707458,3035.0,2964.9,255,6.935508597
8011,21.7158,82.3472,21.71457,82.34776,352.6636621,314.0,216,1139,3.401795323,1.52037394,0.0,106.1707458,29645.0,29822.5,217,3.694579047
8013,20.65,83.7222,20.65205,83.72288,388.1384166,299.0,119,1321,9.372519122,3.211387634,0.0,180.815567,19600.0,20374.3,120,8.257787854
8016,20.2039,83.2231,20.2021,83.22291,372.3421657,296.0,166,1096,7.953628601,2.700042963,0.0,180.815567,11960.0,11956.0,167,7.809003928
8020,21.2361,81.2472,21.23541,81.24788,350.4945645,341.0,271,759,2.734976933,1.686703444,0.0,75.24497986,6990.0,7097.7,280,2.638273997
8021,21.9864,83.2042,21.98544,83.20623,461.9137609,392.0,211,1147,7.648566812,3.602800131,0.0,121.7013779,4625.0,4780.7,219,7.858927267
8023,23.2036,82.2172,23.20624,82.21876,668.1544332,684.0,419,1046,5.76987321,4.237790108,0.0,87.34147644,1100.0,1026.0,425,7.750810007
8028,21.3411,81.5939,21.33957,81.59373,309.0935805,306.0,258,448,1.208421165,1.01552999,0.0,13.90891266,2511.0,2483.6,258,1.488961645
8029,20.9736,81.8783,20.97292,81.87708,445.8448123,420.0,269,929,4.941582497,2.564954042,0.0,103.8763199,8760.0,8511.2,280,5.179658104
8030,21.6517,82.5172,21.65209,82.51875,346.942471,320.0,220,863,4.38343879,2.530055046,0.0,97.96865082,2920.0,3450.8,225,3.717777835
8031,20.9833,83.5394,20.98123,83.53958,257.3732106,250.0,126,1005,4.822895577,2.207262754,0.0,143.5631409,4650.0,4672.4,134,3.552890359
8034,21.7167,82.5967,21.71458,82.598,361.4380346,322.0,204,1139,3.636170903,1.707657099,0.0,116.2132874,48050.0,48030.5,213,3.806854348
8035,21.6256,81.6931,21.62293,81.69374,339.423031,317.0,240,882,2.730605285,1.372877121,0.0,81.06031799,30761.0,16902.7,249,2.957618149
8036,22.1153,84.0111,22.11448,84.01041,517.7097306,480.0,215,1138,6.327791508,3.813777685,0.0,113.2664032,5870.0,5937.2,225,7.587464679
8038,20.5894,84.7833,20.58956,84.78541,358.4428147,310.0,41,1321,5.832801794,2.362890244,0.0,180.815567,124450.0,126895.9,55,5.499013291
9001,14.7172,78.6686,14.71878,78.66878,289.3874684,247.0,135,912,4.68649953,1.333456159,0.0,108.5986862,8758.0,8394.9,136,4.451493495
