gauge_id,geol_porosity,geol_permeability,geol_class_1st,geol_class_1st_frac,geol_class_2nd,geol_class_2nd_frac,carb_rocks_frac
4019,0.081517634,0.740329782,Basic Volcanic Rocks,0.688888889,Metamorphic Rocks,0.177777778,0.0
4021,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4022,0.035199668,0.721112317,Metamorphic Rocks,0.75,Mixed Sedimentary Rocks,0.25,0.0
4023,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
4024,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4025,0.017100922,0.724597438,Metamorphic Rocks,1.0,,0.0,0.0
4026,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4028,0.031295775,0.723365913,Metamorphic Rocks,1.0,,0.0,0.0
4030,0.081458838,0.732848197,Basic Volcanic Rocks,0.333333333,Basic Volcanic Rocks,0.333333333,0.0
4031,0.016092443,0.72342414,Metamorphic Rocks,0.9,Acid Plutonic Rocks,0.1,0.0
4032,0.058165694,0.726980835,Metamorphic Rocks,1.0,,0.0,0.0
4038,0.09023001,0.749878934,Basic Volcanic Rocks,1.0,,0.0,0.0
4039,0.010213973,0.722841021,Metamorphic Rocks,1.0,,0.0,0.0
4040,0.021580532,0.724021777,Metamorphic Rocks,1.0,,0.0,0.0
4041,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
4044,0.092396457,0.749735075,Basic Volcanic Rocks,1.0,,0.0,0.0
4047,0.09348121,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4048,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4049,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4050,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
4051,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4054,0.090153148,0.749884039,Basic Volcanic Rocks,1.0,,0.0,0.0
4055,0.091772025,0.74767015,Basic Volcanic Rocks,1.0,,0.0,0.0
4056,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4057,0.01053342,0.722816299,Metamorphic Rocks,0.857142857,Acid Plutonic Rocks,0.142857143,0.0
4060,0.056025773,0.731305175,Metamorphic Rocks,0.465116279,Basic Volcanic Rocks,0.360465116,0.0
4061,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4062,0.057596621,0.731970813,Metamorphic Rocks,0.4375,Basic Volcanic Rocks,0.3875,0.0
4063,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
4064,0.088357802,0.744940095,Basic Volcanic Rocks,0.869565217,Acid Plutonic Rocks,0.086956522,0.0
5001,0.01,0.722769797,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
5002,0.010550211,0.722817763,Metamorphic Rocks,0.692307692,Acid Plutonic Rocks,0.307692308,0.0
5004,0.025981028,0.724164278,Metamorphic Rocks,1.0,,0.0,0.0
5005,0.01,0.722769797,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
5007,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
5008,0.0111451,0.722869628,Metamorphic Rocks,0.647058824,Acid Plutonic Rocks,0.352941176,0.0
5010,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
5012,0.01328588,0.723056299,Metamorphic Rocks,0.652173913,Acid Plutonic Rocks,0.347826087,0.0
5013,0.01,0.722769797,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
5014,0.016056189,0.723297935,Metamorphic Rocks,1.0,,0.0,0.0
5015,0.010070093,0.722775908,Metamorphic Rocks,1.0,,0.0,0.0
5017,0.01,0.722769797,Metamorphic Rocks,0.666666667,Acid Plutonic Rocks,0.333333333,0.0
5018,0.010018577,0.722771417,Metamorphic Rocks,1.0,,0.0,0.0
5021,0.01,0.722769797,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
5022,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
5023,0.01,0.722769797,Acid Plutonic Rocks,0.666666667,Metamorphic Rocks,0.333333333,0.0
5024,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
5025,0.01,0.722769797,Acid Plutonic Rocks,1.0,,0.0,0.0
5027,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
5028,0.01,0.722769797,Metamorphic Rocks,1.0,,0.0,0.0
5029,0.011225772,0.722876661,Metamorphic Rocks,0.6,Acid Plutonic Rocks,0.4,0.0
6001,0.020189689,0.723495983,Acid Plutonic Rocks,0.666666667,Metamorphic Rocks,0.333333333,0.0
6006,0.02056409,0.72462843,Metamorphic Rocks,0.666666667,Acid Plutonic Rocks,0.333333333,0.0
6007,0.104590993,0.732633399,Unconsolidated Sediments,1.0,,0.0,0.0
