gauge_id,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_major,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,hsg_major,wtd
5017,1.104904632,8.779900686,2.710199778,0.266311458,0.290683303,50,150,150,49,38,28,23,23,39,10,5,1.4,1.4,1.31,1.31,0.58,0.65173913,0.4,0.401304348,0.042038572,0.018814746,D,-5.057323415
5018,1.614309088,14.2653045,4.935893234,0.261912048,0.280332009,25,150,150,47,39,30,27,24,34,9,8,1.39,1.384947368,1.33,1.319738562,0.86,1.162052632,0.38,0.409736842,0.041875823,0.017636615,C,-2.702175982
5021,1.14444995,26.76525466,6.845137767,0.222818905,0.256984754,25,150,150,47,39,29,27,23,34,9,8,1.39,1.394234234,1.33,1.320784314,0.86,0.785225225,0.38,0.357657658,0.019761368,0.008452304,C,-1.623129623
5022,0.988895743,10.90155496,3.794415728,0.274579316,0.294900377,25,150,150,46,41,30,26,24,33,5,7,1.39,1.393555556,1.34,1.329333333,1.73,1.321111111,0.77,0.638444444,0.04721345,0.022269321,D,-5.96016287
5023,1.366391185,13.32738487,4.95676464,0.23860363,0.247971056,25,150,150,47,39,29,27,24,34,9,8,1.39,1.39,1.33,1.33,0.86,0.899512195,0.38,0.352195122,0.026075746,0.009749793,C,-5.147167576
5024,1.260238908,9.978382677,3.115680274,0.256971307,0.279698706,150,150,150,49,38,28,23,23,39,10,5,1.4,1.4,1.31,1.31,0.58,0.58,0.4,0.4,0.029764648,0.013773767,D,-4.722992119
5025,1.063084112,13.16261292,4.134222191,0.250484463,0.259269013,25,150,25,43,0,29,0,23,0,9,0,1.39,1.39,1.33,1.33,0.86,1.13,0.0,0.19,0.032095907,0.010806285,C,-5.991300937
5027,1.432841933,22.24705714,6.215535698,0.229436702,0.253431613,25,150,150,47,39,29,27,24,34,9,8,1.39,1.390296296,1.33,1.329391635,0.86,0.865703704,0.38,0.370740741,0.019805039,0.009436808,C,-1.209981396
5028,1.273287509,12.87274383,4.169717783,0.254934481,0.278680703,25,150,150,47,39,29,27,24,34,9,8,1.39,1.39412766,1.33,1.321504425,0.86,0.816978723,0.38,0.377829787,0.031264484,0.013588528,C,-0.877243636
5029,1.459861007,18.50025661,5.898344416,0.244798403,0.265788246,25,150,150,47,39,29,27,24,34,9,8,1.39,1.391868721,1.33,1.32411487,0.86,0.881153333,0.38,0.327553333,0.02710253,0.011695353,C,-0.274647429
6001,1.454307769,10.33265054,4.254280563,0.24369841,0.257580179,25,150,125,16,15,29,28,23,57,4,5,1.39,1.3148,1.21,1.234296296,0.75,1.053733333,0.45,0.257244444,0.026031613,0.012832558,C,-0.911260754
6006,1.553218575,10.57679397,4.416060493,0.239677983,0.252672702,25,150,25,43,0,34,0,23,0,26,0,1.39,1.353027888,1.29,1.265959596,1.4,1.085318725,0.0,0.239003984,0.02591168,0.012704938,C,-0.489451942
6007,5.902303983,11.15142093,3.995422774,0.257353205,0.26855333,25,150,25,43,0,34,0,23,0,26,0,1.39,1.398258065,1.32,1.323230769,1.4,1.127935484,0.0,0.144,0.034349001,0.017887066,C,-0.596951943
6008,1.513239297,10.35983166,4.376107848,0.239816467,0.252447456,25,150,25,43,0,34,0,23,0,26,0,1.39,1.355535714,1.29,1.26739777,1.4,1.090022321,0.0,0.241517857,0.025954074,0.012636473,C,-0.529438607
7001,1.41285956,14.92051221,5.547841998,0.251914731,0.26821165,25,150,150,79,68,11,10,10,22,7,4,1.59,1.499090909,1.45,1.45,0.53,0.925454545,0.3,0.163636364,0.033239769,0.014320369,C,-6.770730712
7002,1.307069964,10.49772355,3.927006111,0.252555463,0.262666656,25,150,150,44,35,33,24,23,41,11,26,1.39,1.390657895,1.29,1.290812183,0.99,1.132796053,0.38,0.245986842,0.030505515,0.016896645,C,-0.898009013
7005,1.136956522,9.053048998,3.332194361,0.250299069,0.262276132,25,150,150,44,35,33,24,23,41,11,26,1.39,1.39,1.29,1.29,0.99,1.191746032,0.38,0.193015873,0.032376611,0.0179445,D,-2.254534181
7007,3.446155522,8.332420154,3.32812685,0.238596959,0.251671313,25,150,150,43,0,34,0,23,0,26,0,1.39,1.451015625,1.45,1.366947791,1.4,0.982734375,0.0,0.221966146,0.02845136,0.013216007,D,-0.422768575
7008,3.509268949,8.643232266,3.351114924,0.237871018,0.250754306,25,150,150,44,35,33,24,23,41,11,26,1.39,1.386378378,1.29,1.289036145,0.99,1.109432432,0.38,0.257108108,0.028692592,0.013532513,D,-0.677737984
7009,4.94888684,10.99895263,4.253329459,0.240351963,0.254163022,25,150,150,79,68,11,10,23,22,7,4,1.39,1.486168371,1.45,1.401640625,0.53,0.877608183,0.3,0.225263572,0.028035571,0.012716044,D,-0.259018611
7011,3.687543848,8.700933546,3.4082518,0.237543693,0.25071649,25,150,150,44,35,33,24,23,41,11,26,1.39,1.407228637,1.29,1.312591362,0.99,1.055727483,0.38,0.257205543,0.028243547,0.013237619,D,-0.619844142
