gauge_id,q_mean,runoff_ratio,streamflow_elas,slope_fdc,bfi,q_cv,q_10,q_25,q_50,q_75,q_90,q_zero,q_low_days,freq_q_low,q_high_days,freq_q_high,annual_q,mean_anum_flow,cen_time,gini_flow,annual_max_1day,annual_max_3day,annual_max_7day,annual_max_30day,annual_max_90day,annual_min_7day,month_1day_max,month_1day_min,doy_min_flow,doy_max_flow,doy_min_flow_7,doy_max_flow_7,mean_jan_flow,mean_feb_flow,mean_mar_flow,mean_apr_flow,mean_may_flow,mean_jun_flow,mean_jul_flow,mean_aug_flow,mean_sep_flow,mean_oct_flow,mean_nov_flow,mean_dec_flow,cv_jan_flow,cv_feb_flow,cv_mar_flow,cv_apr_flow,cv_may_flow,cv_jun_flow,cv_jul_flow,cv_aug_flow,cv_sep_flow,cv_oct_flow,cv_nov_flow,cv_dec_flow,mean_swmn_flow,mean_atmn_flow,mean_wint_flow,mean_sumr_flow,q_mean_swmn,q_5_swmn,q_25_swmn,q_50_swmn,q_75_swmn,q_95_swmn,rise_rate_mean,rise_rate_median,rise_days,fall_rate_mean,fall_rate_median,fall_days,num_hyd_alt
3081,1.463,0.421,0.914,4.39,0.308,400.14,0.0,0.01,0.093,0.715,2.975,74.55,38.0,94.0,3.113,17.9,2866.275,2802.253,190.257,0.843,3095.65,2141.262,1331.191,577.271,323.313,0.091,7,4,75.829,186.343,79.886,188.543,11.159,7.404,6.318,3.425,6.142,60.448,752.361,1052.093,680.698,170.696,36.807,17.0,160.85,271.58,300.17,254.59,411.84,568.41,264.88,158.46,219.66,144.41,146.01,176.9,2567.408,207.502,35.563,15.79,4.036,0.0,0.225,1.249,3.482,16.277,118.579,3.64,86.15,-58.786,-1.4,173.85,102.85
3082,1.001,0.294,2.157,6.572,0.224,438.03,0.0,0.0,0.008,0.316,1.84,139.15,69.575,146.474,3.018,17.05,658.871,707.437,191.714,0.9,880.28,521.178,317.216,139.103,72.865,0.004,8,1,16.8,186.886,20.514,191.4,0.5,0.988,0.018,0.0,0.833,17.282,167.021,306.452,155.647,46.98,10.423,1.326,546.95,1380.08,696.25,,1376.57,794.46,284.85,205.98,208.64,263.17,134.98,198.88,646.401,57.402,2.813,0.851,2.718,0.0,0.014,0.501,2.159,12.732,44.59,1.13,61.35,-21.894,-0.94,125.35,72.35
3083,0.855,0.278,1.376,4.869,0.317,470.08,0.001,0.006,0.047,0.453,1.832,28.9,21.182,103.556,2.456,19.263,799.657,781.376,197.0,0.842,1286.14,640.476,354.642,149.936,84.838,0.073,7,5,90.229,188.114,105.6,195.857,4.617,2.612,2.926,0.747,0.325,28.692,170.259,267.153,216.432,62.169,15.475,9.981,292.49,399.06,513.55,230.66,145.86,476.09,349.85,251.82,197.62,206.93,232.33,445.32,682.536,77.644,17.209,4.111,2.252,0.002,0.148,0.742,2.059,7.658,33.209,0.3,96.4,-16.57,-0.41,193.2,125.4
3085,0.11,0.052,4.459,19.294,0.194,514.65,0.0,0.0,0.0,0.001,0.123,,,,,,,,228.886,0.917,,,,,,,,,8.371,221.886,16.486,237.257,,,,,,,,,,,,,,,,,,338.26,,252.48,,237.49,273.82,,,,,,0.011,0.0,0.0,0.0,0.019,0.788,,,,,,,
3087,0.535,0.2,1.396,,0.296,416.24,0.004,0.014,0.041,0.167,0.952,,,,,,10816.413,11255.254,139.314,0.804,,,,,,,,,62.0,132.857,64.029,135.771,63.712,57.342,49.078,18.752,11.519,630.368,3007.754,3910.947,2596.732,714.244,120.181,75.303,59.95,125.37,106.91,81.62,164.17,482.22,243.85,179.52,169.85,184.49,95.68,67.79,10145.801,834.425,196.357,82.754,1.726,0.002,0.085,0.462,1.272,7.944,,,,,,,
3089,1.078,0.299,1.019,6.251,0.259,424.89,0.0,0.0,0.007,0.442,2.259,140.15,90.419,147.526,2.656,17.0,665.902,651.605,190.143,0.882,1055.479,624.527,351.155,142.284,75.259,0.01,8,1,17.486,184.8,23.857,191.086,0.89,1.124,0.02,0.034,0.004,19.257,148.601,278.141,156.607,36.896,7.81,2.222,523.3,1334.29,1190.02,633.01,1082.47,883.19,263.53,169.74,279.05,130.51,212.51,420.24,602.606,44.705,4.235,0.059,2.852,0.0,0.012,0.789,2.563,11.925,45.116,2.43,61.35,-22.464,-1.03,123.65,71.7
3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.99,,,,,134.28,95.16,80.42,78.24,81.18,24.06,42.99,,,,,0.691,0.0,0.202,0.436,0.904,2.138,,,,,,,
3092,2.78,0.649,1.071,1.968,0.574,176.29,0.384,0.639,1.32,2.838,6.576,0.0,9.321,96.158,3.486,18.3,5147.87,4994.802,225.8,0.591,2232.351,1573.471,1020.447,590.551,419.809,25.039,7,03-May,138.114,219.086,142.829,221.943,105.332,89.093,87.452,86.003,102.961,310.853,872.828,1490.455,1015.833,482.679,209.201,142.112,56.09,56.42,61.18,59.28,67.59,204.1,130.04,96.87,85.17,112.23,43.95,52.11,3689.969,691.88,336.537,276.415,5.967,0.639,1.977,4.158,7.231,16.712,54.196,9.53,150.35,-40.917,-9.5,199.1,169.9
3094,0.506,0.166,2.584,4.085,0.36,437.43,0.009,0.025,0.074,0.327,0.997,0.0,17.075,96.158,2.711,19.263,2074.721,2043.618,190.514,0.756,2568.743,1507.512,875.923,370.938,204.176,1.615,9,5,132.114,190.229,133.657,194.714,34.377,20.166,17.282,14.289,11.182,101.557,398.9,598.235,592.585,154.472,56.249,44.323,241.16,177.34,180.2,261.36,185.35,240.36,214.69,238.79,288.65,198.55,138.51,285.24,1691.278,210.722,98.866,42.753,1.267,0.015,0.146,0.463,1.072,4.638,54.225,1.025,128.8,-31.988,-1.0,218.35,154.3
3098,0.253,0.097,3.044,4.75,0.34,423.38,0.0,0.001,0.031,0.131,0.46,43.8,27.984,110.188,4.487,18.421,929.338,1415.586,232.486,0.793,1065.308,713.097,455.55,188.722,107.827,0.288,8,6,100.429,233.686,112.657,232.771,11.747,8.671,8.132,5.751,7.405,25.789,207.29,499.889,346.635,216.537,60.02,17.719,163.92,113.61,138.94,220.71,178.74,307.42,352.31,214.18,202.49,293.74,283.74,82.47,1079.603,276.557,38.138,21.289,0.459,0.0,0.004,0.084,0.366,2.139,33.249,1.25,86.15,-17.073,-0.87,167.8,90.85
3099,1.317,0.319,2.197,,0.346,318.64,0.0,0.002,0.078,0.837,3.424,51.0,28.258,97.333,2.511,18.368,700.044,721.719,158.371,0.841,739.118,417.946,245.245,117.823,79.165,0.069,8,3,48.0,149.543,57.371,157.429,2.488,1.456,0.84,1.006,1.116,32.126,153.619,263.328,186.0,62.245,13.422,4.072,183.64,219.56,315.94,298.91,293.32,464.79,213.31,143.59,148.12,194.35,135.51,117.75,635.074,75.667,8.017,2.961,3.454,0.0,0.362,1.483,3.816,12.624,36.822,1.545,69.3,-15.484,-0.58,164.8,77.9
3103,0.808,0.262,2.787,2.934,0.406,260.88,0.012,0.033,0.09,0.551,2.276,0.0,30.966,91.35,4.692,19.263,32798.407,35447.483,233.229,0.785,16818.047,14306.066,10487.64,5442.17,3357.941,12.758,8,6,153.314,230.943,153.2,234.0,238.867,191.466,145.406,69.949,52.479,1217.487,7519.737,13291.768,8812.597,2874.212,688.891,344.625,95.01,98.5,80.06,74.95,90.91,362.81,169.08,102.22,125.78,133.31,86.59,129.45,30841.589,3563.103,774.958,267.833,2.14,0.007,0.222,1.041,2.547,7.916,436.504,12.41,123.25,-227.102,-6.99,236.9,145.4
3105,2.314,0.56,1.906,,0.383,492.22,0.033,0.071,0.22,1.369,4.818,2.65,15.563,91.737,2.441,18.368,1440.326,1274.985,165.829,0.804,1277.05,724.165,423.0,202.895,135.656,0.568,8,5,94.229,160.143,96.943,166.686,9.196,5.239,3.768,3.823,4.029,47.78,236.383,465.681,311.998,131.184,40.622,15.281,84.45,63.92,78.38,98.42,159.42,768.04,199.16,228.95,242.49,280.75,75.98,69.37,1061.842,171.806,29.716,11.62,5.448,0.022,0.455,2.082,5.383,19.327,42.232,1.06,98.05,-21.171,-0.59,195.6,115.2
3107,1.654,0.431,4.157,,0.316,339.73,0.0,0.0,0.027,0.851,4.454,132.421,96.769,139.778,2.516,16.421,1067.985,1052.431,151.886,0.873,895.031,591.876,356.403,173.852,106.102,0.005,8,1,8.514,146.114,10.914,153.286,0.736,0.482,0.0,0.0,0.0,37.554,268.17,409.497,263.041,60.888,9.694,2.369,464.44,695.98,,,,628.62,219.93,149.36,153.31,178.73,116.36,175.94,978.262,70.582,3.587,0.0,4.475,0.0,0.164,1.712,4.968,16.652,56.934,4.96,54.2,-25.032,-1.17,123.55,73.684
3109,0.172,0.084,3.533,6.636,0.265,465.85,0.0,0.0,0.001,0.024,0.24,121.75,34.786,135.278,3.802,19.211,3368.271,4438.413,235.514,0.852,3794.369,2997.228,1929.808,800.694,433.262,0.346,9,1,73.971,234.971,91.343,240.771,25.162,22.601,19.02,13.72,20.719,205.709,616.19,1263.029,1427.219,710.449,79.946,40.209,261.47,256.35,260.26,343.09,419.94,536.19,380.68,290.48,185.85,280.58,446.7,333.61,3590.362,790.395,87.972,53.459,0.419,0.0,0.0,0.02,0.226,2.142,131.319,1.7,89.1,-81.319,-1.36,143.9,93.15
3110,0.131,0.064,,,,518.75,0.0,0.0,0.0,0.001,0.135,,,,,,256.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.16,,,,530.73,615.4,324.82,461.48,308.14,207.99,,,,,,,0.254,0.0,0.0,0.0,0.047,1.847,,,,,,,
4003,1.814,0.704,1.892,3.315,0.331,273.21,0.0,0.0,0.0,1.381,4.763,216.35,144.233,216.35,7.082,18.263,7351.173,7347.32,214.514,0.84,3703.448,3469.09,2975.922,1671.776,915.217,0.0,7,1,5.514,208.486,9.371,210.543,0.287,0.253,0.287,4.962,1.964,410.679,2464.932,2894.473,1069.453,451.788,46.55,1.732,,,,794.45,,258.34,127.34,131.2,144.19,152.79,356.42,,6839.538,498.339,2.285,7.214,4.43,0.0,0.449,1.789,4.801,19.623,207.204,75.975,48.2,-121.058,-42.29,82.5,38.4
4004,0.213,0.098,1.432,10.95,0.282,401.51,0.0,0.002,0.007,0.057,0.52,21.5,13.107,91.75,3.453,19.263,5189.751,5287.792,249.886,0.852,5312.449,4425.645,2787.637,1177.687,637.002,0.68,08-Oct,4,118.6,247.0,110.057,250.371,35.465,23.263,19.958,19.635,55.702,133.287,396.639,1800.038,1286.736,1108.748,325.989,82.332,176.45,259.75,687.77,344.04,240.79,461.2,399.75,167.1,151.19,309.75,577.77,167.63,3616.701,1434.737,141.06,95.295,0.434,0.0,0.004,0.024,0.389,2.095,131.264,2.33,121.85,-79.336,-1.94,201.6,133.2
4005,0.449,0.205,0.487,5.355,0.368,660.92,0.0,0.0,0.088,0.443,1.049,107.85,39.218,126.882,3.043,18.737,412.289,386.711,214.514,0.727,610.59,388.687,198.201,69.292,38.641,0.053,10,1,58.686,222.143,55.686,222.343,3.95,3.287,32.969,11.652,15.268,9.009,23.434,63.047,60.375,103.782,51.944,9.275,196.99,189.62,1721.97,329.81,163.68,242.1,173.97,97.44,111.24,404.04,248.58,220.68,156.622,155.727,16.513,63.288,0.553,0.0,0.033,0.28,0.741,1.991,13.402,1.3,88.5,-8.341,-1.11,143.05,76.6
4006,0.264,0.134,-1.503,,0.34,374.07,0.0,0.0,0.071,0.212,0.427,95.0,17.181,95.0,2.488,17.706,922.328,874.127,203.114,0.759,983.047,633.306,393.161,164.044,85.338,0.906,9,3,52.6,198.8,59.714,201.743,37.556,23.232,13.418,7.324,23.346,96.377,53.147,99.724,187.894,204.14,80.507,47.462,74.23,97.99,142.64,483.84,415.63,324.69,361.73,211.25,229.9,289.56,371.99,50.3,437.142,284.647,108.251,44.088,0.338,0.0,0.0,0.053,0.233,1.563,33.242,2.185,80.7,-21.348,-1.56,125.55,97.882
4007,0.23,0.103,2.161,6.687,0.523,327.97,0.0,0.016,0.096,0.253,0.433,41.45,23.127,91.35,4.633,20.333,949.678,1042.029,258.543,0.609,755.183,535.658,319.437,136.346,87.664,0.898,10,6,155.943,256.657,166.771,263.429,50.809,52.716,57.149,35.736,11.291,9.749,32.855,129.519,216.785,269.141,125.23,51.902,74.3,73.46,104.02,113.88,149.98,188.93,190.36,274.37,184.65,284.76,92.59,80.59,380.385,394.371,155.427,104.176,0.226,0.0,0.005,0.031,0.196,1.052,14.414,1.46,117.5,-10.541,-1.3,160.65,122.1
4012,0.164,0.075,2.031,9.483,0.319,901.17,0.0,0.002,0.022,0.085,0.263,48.15,18.059,102.333,4.022,20.333,197.276,179.419,228.657,0.748,508.21,293.767,149.641,48.357,28.276,0.157,10,5,114.286,232.343,123.971,234.229,4.538,3.934,4.117,3.168,1.656,3.183,5.753,12.774,48.058,63.279,21.259,7.793,139.35,127.74,140.3,203.2,201.98,371.48,464.47,493.56,562.08,531.68,291.73,187.22,71.235,84.538,16.266,8.942,0.183,0.0,0.0,0.015,0.07,0.571,7.655,0.15,110.95,-5.819,-0.15,145.85,114.95
4013,2.793,0.785,1.233,2.338,0.474,817.08,0.0,0.083,0.321,1.445,4.091,31.5,14.616,91.35,4.357,18.3,8322.955,7066.464,224.886,0.706,2968.403,2550.668,1967.913,1073.223,679.492,3.993,07-Aug,01-Mar,69.4,221.114,76.057,220.343,60.216,56.794,52.529,73.289,113.561,432.897,1862.761,2254.058,983.278,667.071,370.289,139.72,120.32,119.74,204.59,171.63,103.52,145.81,640.92,396.42,266.08,305.39,461.8,80.68,5532.994,1037.36,256.73,239.379,6.269,0.07,0.824,1.938,4.152,16.105,89.713,10.74,114.85,-48.38,-6.83,212.95,109.05
4015,1.499,0.359,,,,247.02,0.22,0.381,0.753,1.661,2.927,,,,,,1884.742,1867.963,,,,,,,,,,,,,,,61.23,110.386,113.756,108.978,108.687,62.967,231.716,419.412,296.516,188.816,119.806,45.693,109.56,76.7,78.33,67.18,77.28,881.88,142.44,147.65,114.24,115.17,110.01,101.39,1010.612,308.622,217.309,331.42,2.434,0.013,0.42,1.275,2.628,9.033,,,,,,,
4016,,,1.543,2.726,0.486,,,,,,,,,,,,,,205.629,0.695,,,,,,,,,96.286,201.829,97.057,202.829,,,,,,,,,,,,,,,234.24,,123.12,,,,,,,,,,,,,0.586,0.586,0.586,0.586,0.586,,,,,,,
4017,0.697,0.319,2.065,4.864,0.37,269.76,0.012,0.041,0.092,0.247,1.86,0.0,11.425,96.211,5.719,19.263,13790.379,15561.709,230.486,0.78,6529.209,5946.098,5107.811,2861.087,1648.325,9.693,8,5,148.343,226.371,155.771,229.086,124.01,113.665,102.332,67.268,68.308,471.249,3953.867,6088.437,2697.859,1443.763,280.329,153.394,53.53,47.28,95.72,96.17,158.77,380.66,170.86,117.7,133.04,181.77,155.7,71.83,13211.412,1724.092,395.339,237.908,1.692,0.004,0.04,0.356,1.94,8.117,160.873,5.19,151.15,-124.212,-5.08,195.75,154.55
4018,0.265,0.119,,,,582.6,0.0,0.0,0.014,0.074,0.342,,,,,,192.695,270.808,,,,,,,,,,,,,,,1.433,0.745,0.487,0.472,0.774,3.645,29.916,72.574,87.189,62.631,8.345,2.597,117.45,127.36,165.35,412.74,433.64,368.13,494.17,417.31,220.47,329.11,195.14,86.6,193.325,70.976,4.774,1.733,0.519,0.0,0.0,0.044,0.25,2.206,,,,,,,
4019,0.522,0.253,,,,251.51,0.006,0.022,0.044,0.285,1.581,1.235,8.202,93.813,5.679,21.5,25369.745,25866.382,,,9415.047,8725.708,7478.475,4565.242,2658.998,7.641,8,5,,,,,152.497,126.88,106.665,83.385,87.841,697.796,5329.409,9607.086,4996.59,3806.866,644.373,226.993,72.6,72.77,77.24,131.48,223.52,285.58,149.17,112.38,120.35,136.21,163.4,88.12,20630.881,4451.239,506.37,277.892,1.24,0.002,0.065,0.4,1.628,4.982,226.719,11.845,121.6,-165.075,-6.53,167.0,144.529
4021,2.158,0.702,1.36,3.014,0.363,284.66,0.0,0.0,0.557,1.306,4.73,27.3,5.818,91.35,5.382,18.3,4272.328,4396.449,216.4,0.721,2630.217,2112.927,1572.829,879.699,485.264,3.257,7,1,47.029,210.514,101.229,215.229,57.977,57.531,66.58,69.34,69.953,254.899,1355.176,1520.351,590.057,224.679,73.164,60.982,114.69,109.67,110.54,111.6,110.91,257.85,144.11,148.83,183.96,201.83,148.08,115.88,3720.483,299.25,176.49,205.873,5.368,0.0,0.533,2.157,5.406,22.832,69.778,9.77,128.05,-42.553,-7.57,210.05,128.1
4022,0.454,0.155,2.435,5.36,0.36,355.93,0.0,0.012,0.081,0.287,0.97,27.9,20.807,96.368,3.735,20.333,1755.321,1851.546,252.571,0.766,1637.239,1192.962,807.931,344.109,192.546,0.808,8,5,133.857,249.914,136.343,255.629,25.301,13.745,13.083,8.685,37.083,30.078,203.078,544.657,479.044,325.215,119.512,52.229,110.55,87.29,422.09,243.89,899.79,555.32,232.12,232.13,203.49,170.79,178.13,89.4,1256.857,444.727,91.275,59.696,0.903,0.0,0.02,0.135,0.787,3.741,41.428,1.295,118.9,-23.992,-1.25,205.3,128.7
4023,0.065,0.034,,,,651.57,0.0,0.0,0.0,0.012,0.068,170.75,48.786,200.882,5.197,20.176,88.673,84.634,,,129.284,79.485,51.753,25.269,16.43,0.051,10,1,,,,,0.888,0.278,0.205,0.203,0.967,1.939,0.887,2.744,11.045,39.97,23.149,2.372,537.11,218.17,316.11,346.49,502.56,611.88,642.8,293.33,334.5,247.24,368.33,213.65,16.615,63.119,3.606,1.375,0.032,0.0,0.0,0.0,0.012,0.117,7.228,0.275,46.6,-3.591,-0.2,96.8,53.158
4024,0.097,0.066,,,,630.33,0.0,0.0,0.0,0.0,0.052,298.882,103.694,298.882,6.082,24.833,53.543,90.046,,,,,,,,,10,1,,,,,0.328,0.128,0.061,0.029,0.38,8.202,3.984,4.157,36.909,29.364,5.622,1.334,546.48,,,,2188.86,726.59,483.47,756.21,338.36,253.6,205.18,298.8,44.86,34.986,1.79,0.47,0.096,0.0,0.0,0.0,0.0,0.456,12.172,1.16,12.1,-4.868,-0.5,30.25,17.867
4025,0.548,0.193,-0.546,,0.338,315.69,0.0,0.0,0.0,0.365,1.432,152.65,59.863,169.611,5.403,19.706,419.472,381.383,173.286,0.832,292.393,250.976,180.237,76.675,43.97,0.024,07-Aug,1,6.686,168.657,9.886,172.771,0.333,0.093,0.259,0.109,0.597,1.378,70.089,130.248,67.009,73.837,31.982,5.48,287.33,425.65,812.2,389.07,704.28,378.76,197.01,165.15,152.92,218.54,296.0,191.93,268.725,105.819,5.416,1.049,1.16,0.0,0.0,0.336,1.324,5.0,11.833,1.57,59.45,-6.451,-1.19,110.15,59.8
4026,1.958,0.69,1.455,3.218,0.348,263.29,0.0,0.0,0.0,1.334,5.812,244.2,148.0,244.2,7.176,18.3,10979.409,11041.892,219.0,0.845,4508.858,4315.416,3891.842,2320.667,1311.286,0.0,7,1,1.0,215.714,1.0,214.743,0.94,0.819,1.423,1.265,2.496,618.172,3794.195,4384.438,1566.067,607.359,57.466,7.252,,2861.82,,,,217.98,103.8,108.91,124.64,166.79,780.17,,10362.872,664.825,9.011,5.184,5.525,0.0,0.777,2.635,6.814,21.41,269.943,140.0,48.75,-179.288,-79.765,73.4,34.45
4028,0.708,0.237,2.05,5.773,0.419,372.15,0.0,0.04,0.221,0.648,1.363,32.3,12.541,96.368,3.239,18.3,436.456,513.99,229.086,0.696,526.64,301.18,186.198,75.54,44.266,0.523,8,5,109.314,230.343,122.686,236.743,15.05,10.597,9.369,6.732,10.209,7.937,38.107,123.04,125.371,94.94,46.55,26.089,99.28,84.81,153.79,184.1,764.48,514.34,275.36,288.61,281.56,163.78,137.26,95.42,294.455,141.49,51.736,26.31,1.193,0.0,0.035,0.242,1.028,4.573,10.937,0.71,126.25,-7.285,-0.64,189.5,129.1
4030,0.379,0.178,2.531,11.184,0.342,751.74,0.002,0.011,0.031,0.104,0.517,25.85,15.016,91.6,3.624,19.263,1165.729,818.771,181.743,0.77,848.652,567.939,343.202,152.983,94.911,0.298,9,6,86.4,180.514,94.4,186.886,11.731,7.484,8.396,4.267,3.869,18.285,77.626,148.189,296.814,191.511,35.488,15.113,81.44,95.03,829.87,250.6,361.37,744.85,654.48,499.72,211.36,330.06,120.91,71.0,540.914,226.999,34.328,16.531,0.87,0.0,0.014,0.062,0.345,2.34,26.999,0.46,104.9,-15.076,-0.41,187.85,124.75
4031,0.254,0.117,1.421,8.113,0.365,319.38,0.0,0.01,0.04,0.12,0.599,21.05,17.912,91.35,3.358,20.333,6001.157,6384.973,248.743,0.76,5340.149,3935.786,2642.788,1233.294,699.492,2.252,10,7,141.143,247.886,151.743,247.971,127.468,102.048,109.547,75.087,53.433,138.702,483.401,2002.816,1462.855,1173.991,477.133,178.492,77.85,110.14,299.51,159.21,164.57,396.7,394.58,151.91,128.97,223.56,428.67,81.29,4087.774,1651.124,408.008,238.067,0.491,0.0,0.005,0.038,0.465,2.504,141.859,5.43,117.15,-76.784,-3.8,216.45,124.2
